time,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1708441256.794852,-2.1422295570373535,-1.3340147745660325,-2.527976099644796,6.112601864128866,1.0197527408599854,-2.7418013254748743
1708441256.7968676,-2.142245292663574,-1.3339744818261643,-2.5279105345355433,6.112636196404257,1.0198261737823486,-2.7417433897601526
1708441256.7988908,-2.142249822616577,-1.333937407737114,-2.5279341379748743,6.112610804825582,1.0198396444320679,-2.741710964833395
1708441256.8008473,-2.142258644104004,-1.3339496564916153,-2.5279911200152796,6.11259292343215,1.0198547840118408,-2.7417290846454065
1708441256.8028488,-2.1421959400177,-1.3339331311038514,-2.5279749075519007,6.112606394081869,1.0198907852172852,-2.7416961828814905
1708441256.804876,-2.1421914100646973,-1.3339701306870957,-2.527970616017477,6.112676608353414,1.0199116468429565,-2.74170953432192
1708441256.806924,-2.1422295570373535,-1.3340104979327698,-2.527978006993429,6.11268829086379,1.0199148654937744,-2.741678539906637
1708441256.808836,-2.142200231552124,-1.333945394759514,-2.527978006993429,6.112642276078024,1.0199270248413086,-2.741636101399557
1708441256.8108175,-2.14219331741333,-1.3339863133481522,-2.5280314127551478,6.112618315010824,1.019970417022705,-2.7416048685656946
1708441256.8128204,-2.142197608947754,-1.334029958849289,-2.528076235448019,6.112654316216268,1.0199960470199585,-2.7415438334094446
1708441256.8148458,-2.142209053039551,-1.333945394759514,-2.5280261675464075,6.112646806031027,1.0200364589691162,-2.7415574232684534
1708441256.8168232,-2.1422178745269775,-1.33399851739917,-2.5280264059649866,6.112630355149069,1.0200306177139282,-2.74148136774172
1708441256.8188603,-2.1422269344329834,-1.3339985024980088,-2.5280218760119837,6.112667667656698,1.0200728178024292,-2.741450373326437
1708441256.8208263,-2.1422266960144043,-1.3339648854783555,-2.5280588308917444,6.112646806031027,1.0201131105422974,-2.7414711157428187
1708441256.8228438,-2.142209053039551,-1.3339856576970597,-2.528045717869894,6.112643945008077,1.0201207399368286,-2.7414594332324427
1708441256.8248336,-2.142165184020996,-1.333994300370552,-2.5280948320971888,6.112642395287313,1.0200787782669067,-2.741411034260885
1708441256.826851,-2.142165184020996,-1.3339648854783555,-2.5280948320971888,6.1126513359840295,1.0201445817947388,-2.741403643284933
1708441256.828834,-2.14214825630188,-1.3339856576970597,-2.528090540562765,6.112617003708639,1.0201101303100586,-2.741359059010641
1708441256.8308482,-2.1421737670898438,-1.3340061169913788,-2.5281158129321497,6.112646806031027,1.0201435089111328,-2.7413798014270228
1708441256.8329432,-2.1421737670898438,-1.334018052821495,-2.5281394163714808,6.112625944405355,1.0201345682144165,-2.7413633505450647
1708441256.8348737,-2.1421210765838623,-1.334002823834755,-2.5281265417682093,6.112649786263265,1.0201629400253296,-2.7413435618029993
1708441256.836834,-2.1422019004821777,-1.3339856576970597,-2.528118912373678,6.112703549652853,1.0202003717422485,-2.7413435618029993
1708441256.8388495,-2.1421658992767334,-1.3340385419181366,-2.528158966694967,6.112630474358358,1.020179271697998,-2.741344992314474
1708441256.8408892,-2.1421167850494385,-1.333964855676033,-2.5281131903277796,6.112674820214071,1.0201836824417114,-2.7413035074817103
1708441256.8428314,-2.142117500305176,-1.3339933168939133,-2.5281265417682093,6.112674581795492,1.0202049016952515,-2.741300408040182
1708441256.8448598,-2.1421544551849365,-1.3339734238437195,-2.528184477482931,6.112691509514608,1.0202200412750244,-2.741272751485006
1708441256.846858,-2.1421658992767334,-1.3339453798583527,-2.5281758944140833,6.112642395287313,1.0202033519744873,-2.741272513066427
1708441256.8488233,-2.1421499252319336,-1.333997593527176,-2.5281670729266565,6.112679230957784,1.02023184299469,-2.74117881456484
1708441256.8508449,-2.142117500305176,-1.3339815002730866,-2.5281384626971644,6.112683641701498,1.0202395915985107,-2.741187636052267
